index,Final_description
p00031,"
My grandmother uses a balance. The weights of the ten weights are, in order of weight: 1g, 2g, 4g, 8g, 16g, 32g, 64g, 128g, 256g, and 512g.
 
My grandmother says, ""You can weigh up to 1 kg in grams. She said, ""Well, let's try it out. She put the juice on the left plate and the weights of 8g, 64g, and 128g on the right plate, weighed them together, and then said, ""The sum of the weights is 200g, so the juice weighs 200g. How is that right? The answer was, ""Yes, it is correct.
 
Since the weight of the item to be placed on the left plate is given, create a program that outputs the weights to be placed on the right plate in order of lightest to heaviest when balanced with the weight of the item given by the balance. However, the weight of the item to be weighed must be less than or equal to the sum of the weights (=1023g).

"
p00032,"

There is a factory that inputs data on the length of sides and diagonals into a machine and cuts out molds of plastic sheets. This factory cuts out only parallelogram-shaped molds, although the sizes vary. You have been assigned by your supervisor to count the number of rectangles and rhombuses produced out of the parallelograms being cut out.
 
You are asked to create a program that reads the ""data to be input to the machine"" and outputs the number of rectangles and rhombuses produced.
 







 


 

"
p00033,"
A container is divided into two halves as shown in the figure: 10 balls numbered from 1 to 10 are dropped through the opening a of the container, and the balls are placed either in the left cylinder b or in the right cylinder c. The plate d can rotate left or right around the fulcrum e, so that by moving the plate d, one can decide whether to place the balls in cylinder b or c. Since plate d can rotate left or right around fulcrum e, the ball can be placed in either tube b or tube c by moving plate d.
 
The sequence of balls to be dropped through aperture a is given. The balls are placed into tube b or c in sequence. The program should output ""yes"" if both cylinder b and c can place the larger ball on top of the smaller numbered ball, and ""no"" if they cannot. However, the order of the balls in the containers must not be interchanged. Also, it is assumed that the balls can be continuously placed in the same cylinder, and that there is enough room in both cylinders b and c for all 10 balls.
 


"
p00034,"

There is a double-track (upstream and downstream are on separate tracks and can pass each other anywhere) railroad line. There are 11 stations on this line, including the terminus, and each station is called by the section number shown in the figure.
 
Trains depart from both terminus stations of the line at the same time and do not stop along the way. Write a program that reads the length of each segment and the speeds of the two trains and outputs the segment numbers where the trains pass each other for each case. However, if the trains pass each other at exactly the station, output the smaller of the two section numbers. The length of the train and the length of the station should be negligible.
 




"
p00037,"
Viewed from above, the square has the shape of a grid, as shown in Figure 1. Each side of this grid is represented by a sequence of 0's and 1's, whether or not there is a ""wall"" on each side of the grid. Create a program that outputs the path of a person standing at point a, placing his right hand on the wall, keeping his right hand on the wall, and continuing to walk in the direction of the arrow until he returns to point a again."
p00038,"Create a program that reads poker hand data and outputs its hand for each of them. However, the following rules apply to this problem
 Poker is played with 5 playing cards. No more than five cards have the same numbers. There shall be no jokers. Only the following poker hands are considered (the higher the number, the higher the hand) (The higher the number, the higher the hand.) No hand (none of the following) One pair (two cards of the same number) Two pair (two cards of the same number) Three card (three cards of the same number) Straight (five consecutive cards of the same number)

However, if a straight contains a, any sequence ending in a is also a straight. In other words, a straight containing a
A straight that ends with a, such as j q k a 2, is not a straight.
is not a straight. (In this case, the hand is ""no suit"").
 Full house (a pair of three cards of the same number, plus two other cards of the same number) Four-card hand (a pair of four cards of the same number) "
p00039,"
Counting was a difficult task in ancient Rome. The Arabic numerals 0,1,2,3,..., 9 were not yet in vogue. Instead, the following symbols were used.
 
i for 1, v for 5, x for 10, l for 50, c for 100, d for 500, m for 1000, and see the table above for other examples. When a smaller number follows a larger number, i.e., to the right, it adds up. When the smaller number precedes the larger number, i.e., is to the left, subtract the smaller number from the larger number. There is only one small number per subtraction that precedes the larger number and represents subtraction.
 
Create a program that converts Roman numerals to Arabic (normal number) notation (decimal representation) and outputs the result. However, the given Roman numerals follow only the above rules (there are more detailed rules for actual Roman numeral notation, but we do not need to consider them here. For example, in actual Roman numerals, i is only subtracted from v or x, x from l or c, c from d or m, and the same Roman numerals are never added together more than four (or five))"
p00042,"
宝物がたくさん収蔵されている博物館に、泥棒が大きな風呂敷を一つだけ持って忍び込みました。盗み出したいものはたくさんありますが、風呂敷が耐えられる重さが限られており、これを超えると風呂敷が破れてしまいます。そこで泥棒は、用意した風呂敷を破らず且つ最も価値が高くなるようなお宝の組み合わせを考えなくてはなりません。
 
風呂敷が耐えられる重さ w、および博物館にある個々のお宝の価値と重さを読み込んで、重さの総和が w を超えない範囲で価値の総和が最大になるときの、お宝の価値総和と重さの総和を出力するプログラムを作成してください。ただし、価値の総和が最大になる組み合わせが複数あるときは、重さの総和が小さいものを出力することとします。
 

<!--
また、博物館にあるお宝の総数は 1000 以下とし、お宝の価値は10000 以下とします。
-->

"
p00044,"
素数というのは、1 よりも大きくそれ自身か 1 でしか割りきれない整数をいいます。例えば、2 は、2 と 1 でしか割り切れないので素数ですが、12 は、12 と 1 のほかに、2, 3, 4, 6 で割りきれる数なので素数ではありません。
 
整数 n を入力したとき、n より小さい素数のうち最も大きいものと、n より大きい素数のうち最も小さいものを出力するプログラムを作成してください。
 

"
p00046,"
今まで登ったことのある山の標高を記録したデータがあります。このデータを読み込んで、一番高い山と一番低い山の標高差を出力するプログラムを作成してください。
 

"
p00055,"
次のように定義されている数列があります。
 すべての偶数番目の項は一つ前の項に 2 を掛けたものと等しい数である。 すべての奇数番目の項は一つ前の項を 3 で割ったものと等しい数である。 
この数列の初項 a を読み込み、初項から第 10 項までの和 s(10) を出力するプログラムを作成してください。
 


"
p00057,"
無限に広い平面の上に、無限に長い直線を数本引くと、この平面はいくつかの領域に分割されます。たとえば、直線を１本引くと、平面は２つの領域に分割されます。同じ数の直線を引いても、引き方によって得られる領域の数は異なります。たとえば、2 本の直線を平行に引けば得られる領域は 3 つになり、互いに垂直に引けば得られる領域は 4 つになります。
 
n 本の直線を引くことで得られる最大の領域の数を出力するプログラムを作成してください。
 

"
p00073,"
1 辺が x の正方形を底面とする、高さ h の四角すいの表面積 s を出力するプログラムを作成して下さい。ただし、頂点と底面の中心を結ぶ線分は底面と直交しているとします。また、 x、h は 100 以下の正の整数とします。
 
複数のデータセットが与えられます。各データセットは以下の形式で与えられます。
 
x, h が共に 0 のとき入力の終了を示します。
 

"
p00075,"
肥満は多くの成人病の原因として挙げられています。過去においては、一部の例外を除けば、高校生には無縁なものでした。しかし、過度の受験勉強等のために運動不足となり、あるいはストレスによる過食症となることが、非現実的なこととはいえなくなっています。高校生にとっても十分関心を持たねばならない問題になるかもしれません。
 
そこで、あなたは、保健室の先生の助手となって、生徒のデータから肥満の疑いのある生徒を探し出すプログラムを作成することになりました。
 
方法は bmi (body mass index) という数値を算出する方法です。bmiは次の式で与えられます。
 
bmi = 22 が標準的で、25 以上だと肥満の疑いがあります。
 
各々の生徒の体重、身長の情報から bmi を算出し、25 以上の生徒の学籍番号を出力するプログラムを作成してください。
 


"
p00080,"
$x^3 = q$ の解は漸化式 $x_{n+1} = x_n - \frac{x_{n}^3 - q}{3x_{n}^2}$ を計算していくことで近似的に求めることができます。 
$x_1$ に正の数 $\frac{q}{2}$ をいれ
 

$x_2 = x_1 - \frac{x_{1}^3 - q}{3x_{1}^2}$、$x_3 = x_2 - \frac{x_{2}^3 - q}{3x_{2}^2}$、…　と計算します。 
この計算をしながら、
 
$|x^3 - q|$ の値が、十分小さくなったところで、計算をやめ、最後に計算した $x_n$ を $x^3 = q$ の近似解とします。 


の解は漸化式 

 

を計算していくことで近似的に求めることができます。 
 に正の数 をいれ
 

 、 、…　と計算します。 
この計算をしながら、
 
 の値が、十分小さくなったところで、計算をやめ、最後に計算した を
 の近似解とします。 
この方法に従って、入力された正の整数 $q$ に対し、 $q$ の３乗根の近似値を出力するプログラムを作成してください。ただし、「十分小さくなった」という判定は $|x^3 - q| < 0.00001 q$ を用いてください。
 



"
p00093,"
 西暦 a 年から b 年までの間にあるすべてのうるう年を出力するプログラムを作成してください。
 
 うるう年の条件は、次のとおりとします。ただし、0 &lt; a &le; b &lt; 3,000 とします。与えられた期間にうるう年がない場合には ""na""と出力してください。
  西暦年が 4 で割り切れる年であること。  ただし、100 で割り切れる年はうるう年としない。  しかし、400 で割り切れる年はうるう年である。 


"
p00094,"
土地の面積を表現する「○○坪」という単位を聞いたことはないでしょうか？ 古来、１人の武士が１日に食べるお米を作る面積を言いました。
 
a［m］&times; b［m］の土地があります。a と b を入力し、その土地の坪面積 s［坪］を出力するプログラムを作成してください。 1 坪 = 3.305785 [m2] とし、a と b は 100 以下の整数とします。 
 


"
p00095,"
桧原湖でワカサギ釣り大会が行われました。一番多くのワカサギを獲得した人が優勝者です。
 
参加者番号と釣った匹数のリストを読み込み、優勝者の番号と釣った匹数を出力するプログラムを作成してください。優勝者が複数いる場合は、その中で参加者番号が最も小さい一人を出力してください。 
 

"
p00100,"
there is data on sales of your company. your task is to write a program which identifies good workers.
 
the program should read a list of data where each item includes the employee id i, the amount of sales q and the corresponding unit price p. then, the program should print ids of employees whose total sales proceeds (i.e. sum of p &times; q) is greater than or equal to 1,000,000 in the order of inputting. if there is no such employees, the program should print ""na"". you can suppose that n &lt; 4000, and each employee has an unique id. the unit price p is less than or equal to 1,000,000 and the amount of sales q is less than or equal to 100,000.
 


"
p00101,"
an english booklet has been created for publicizing aizu to the world.
when you read it carefully, you found a misnomer (an error in writing) on the last name of masayuki hoshina, the lord of the aizu domain. the booklet says ""hoshino"" not ""hoshina"".
 
your task is to write a program which replace all the words ""hoshino"" with ""hoshina"". you can assume that the number of characters in a text is less than or equal to 1000.
 

"
p00102,"
your task is to develop a tiny little part of spreadsheet software.
 
write a program which adds up columns and rows of given table as shown in the following figure:



 






"
p00103,"
ichiro likes baseball and has decided to write a program which simulates baseball. 
the program reads events in an inning and prints score in that inning. there are only three events as follows:
 single hit put a runner on the first base. the runner in the first base advances to the second base and the runner in the second base advances to the third base. the runner in the third base advances to the home base (and go out of base) and a point is added to the score. home run all the runners on base advance to the home base. points are added to the score by an amount equal to the number of the runners plus one. out the number of outs is increased by 1. the runners and the score remain stationary. the inning ends with three-out. 
ichiro decided to represent these events using ""hit"", ""homerun"" and ""out"", respectively.
 write a program which reads events in an inning and prints score in that inning. you can assume that the number of events is less than or equal to 100.
 

"
p00104,"
there is a magic room in a homestead. the room is paved with h &times w tiles. there are five different tiles:
 tile with a east-pointing arrow tile with a west-pointing arrow tile with a south-pointing arrow tile with a north-pointing arrow tile with nothing 
once a person steps onto a tile which has an arrow, the mystic force makes the person go to the next tile pointed by the arrow. if the next tile has an arrow, the person moves to the next, ans so on. the person moves on until he/she steps onto a tile which does not have the arrow (the tile with nothing). the entrance of the room is at the northwest corner.
 
your task is to write a program which simulates the movement of the person in the room. the program should read strings which represent the room and print the last position of the person.
 
the input represents the room as seen from directly above, and up, down, left and right side of the input correspond to north, south, west and east side of the room respectively. the horizontal axis represents x-axis (from 0 to w-1, inclusive) and the vertical axis represents y-axis (from 0 to h-1, inclusive). the upper left tile corresponds to (0, 0).
 
the following figure shows an example of the input:
 
characters represent tiles as follows:
 
if the person goes in cycles forever, your program should print ""loop"". you may assume that the person never goes outside of the room.
 

"
p00105,"
books are indexed. write a program which reads a list of pairs of a word and a page number, and prints the word and a list of the corresponding page numbers.
 
you can assume that a word consists of at most 30 characters, and the page number is less than or equal to 1000. the number of pairs of a word and a page number is less than or equal to 100. a word never appear in a page more than once.
 
the words should be printed in alphabetical order and the page numbers should be printed in ascending order.
 
 本の最後には索引が設けられています。本の中から抽出された「語句」と「ページ番号」の組を読み取り、本の索引として「語句」とその語句が表れる「ページ番号のリスト」を出力して終了するプログラムを作成して下さい。ただし、1つの語句の長さは30文字以内とし、ページ番号は1,000以下とします。入力に含まれる語句とページ番号の組は100以下とし、1つの語句は同じページ番号に複数回現れないものとします。また、出力に関しては、語句の順番はアルファベット順とし、ページ番号は小さい順(昇順)とします。
 
-->

"
p00107,"
jerry is a little mouse. he is trying to survive from the cat tom. jerry is carrying a parallelepiped-like piece of cheese of size a &times; b &times; c. it is necessary to trail this cheese to the jerry's house. there are several entrances in the jerry's house. each entrance is a rounded hole having its own radius r. could you help jerry to find suitable holes to be survive?

 
your task is to create a program which estimates whether jerry can trail the cheese via each hole.
the program should print ""ok"" if jerry can trail the cheese via the corresponding hole (without touching it). otherwise the program should print ""na"".
 
you may assume that the number of holes is less than 10000.
 


"
p00108,"
有限数列の変換操作に出現頻度操作というものがあります。数列 $s = \{s_1, s_2,... s_n\}$ の変換結果は同じ長さの数列となります。その結果を $c = \{c_1,c_2, ..., c_n\}$ とすると、 $c_i$ は数列 $s$ における $s_i$ の個数を表します。
 
  例えば $s = \{3,4,1,5,9,2,6,5,3\}$ ならば $c = {2,1,1,2,1,1,1,2,2}$ となります。さらにこの数列 $c$ に出現頻度操作を行うと $p = \{4,5,5,4,5,5,5,4,4\}$ を得ます。この数列は出現頻度操作で変わることがありません。このような数列 $p$ を数列 $s$ の不動点と呼びます。どのような数列に対しても出現頻度操作を繰り返せば、その不動点を求めることが出来るということが知られています。
 
 下の例は出現頻度操作の手順を示したものです。1 行目を数列 $s$ 、2 行目を数列 $c$、最終行を数列 $p$ とします。数列 $s$ の最初の要素($s_1 = 2$) と同じ数は 3 個あるので数列 $c$ の最初の要素 $c_1$ は 3、次の要素 ($s_2 = 7$) と同じ数は 2 個あるので $c_2 = 2$、といった具合に個数を数え $c_i$ を求めていきます。
 
 数列の長さ $n$ と数列 $s$ を入力し、不動点の数列 $p$ および、$p$ を得るために実行した出現頻度操作の最小の回数を出力するプログラムを作成してください。
 

"
p00109,"
your task is to write a program which reads an expression and evaluates it.
 the expression consists of numerical values, operators and parentheses, and the ends with '='. the operators includes +, - , *, / where respectively represents, addition, subtraction, multiplication and division.  precedence of the operators is based on usual laws. that is one should perform all multiplication and division first, then addition and subtraction. when two operators have the same precedence, they are applied from left to right.
 you may assume that there is no division by zero. all calculation is performed as integers, and after the decimal point should be truncated length of the expression will not exceed 100. -1 &times 109 &le; intermediate results of computation &le; 109 



"
p00123,"
スピードスケートバッジテストでは、2 種類の距離で規定されたタイムを上回った場合に級が認定されます。例えば a 級になるには 500 m で 40.0 秒未満、かつ 1000 m で 1 分 23 秒未満であることが求められます。
 
スピードスケート大会 (500 m と 1000 m) で記録したタイムを入力とし、スピードスケートバッジテストで何級に相当するかを出力するプログラムを作成して下さい。500 m と1000 m のバッジテスト規定タイムは下表のとおりです。 e 級に満たなかった場合には、na と出力してください。
 


 500 m1000 m
aaa 級   35 秒 50 1 分 11 秒 00
 aa 級   37 秒 50 1 分 17 秒 00
 a 級   40 秒 00 1 分 23 秒 00
  b 級   43 秒 00 1 分 29 秒 00
  c 級   50 秒 00 1 分 45 秒 00
  d 級   55 秒 00 1 分 56 秒 00
  e 級 1分10 秒 00 2 分 28 秒 00




"
p00134,"
あるデパートで買い物金額の出口調査を行いました。買い物金額のデータを入力とし、1 人あたりの平均買い物金額を計算し、出力するプログラムを作成してください。調査人数は、10 万人以下とし、一人あたりの買い物金額は 100 万円を超えないものとします。
 

"
p00135,"
原始スローライフ主義組織「アカルイダ」から、いたずらの予告状が届きました。アカルイダといえば、要人の顔面にパイを投げつけたりするいたずらで有名ですが、最近では火薬を用いてレセプション会場にネズミ花火をまき散らすなど、より過激化してきました。予告状は次の文面です。
 
たどたどしくてよく解らないのですが、時計の短針と長針とが重なったころにいたずらを決行するという意味のようです。
 
このいたずらを警戒するため、時刻を入力として、短針と長針が近い場合は ""alert""、遠い場合は ""safe""、それ以外の場合は ""warning"" と出力するプログラムを作成してください。ただし、「近い」とは短針と長針の角度が 0° 以上 30° 未満の場合をいい、「遠い」とは 90° 以上 180° 以下の場合をいいます。なお、時刻は 00:00 以上 11:59 以下とします。
 

"
p00136,"
健康診断で生徒の身長を計測しました。身長のデータを入力とし、度数分布を作成して出力するプログラムを作成してください。度数分布の階級は 5 cm 刻みの 6 つの階級とし、度数は人数を *（半角アスタリスク）で表示します。ただし、その階級の度数（人数）が 0 の場合、階級の見出しのみを出力してください。
 

"
p00137,"
古典的な乱数生成方法の一つである平方採中法のプログラムを作成します。平方採中法は、フォンノイマンによって 1940 年代半ばに提案された方法です。
 
平方採中法は、生成する乱数の桁数を n としたとき、初期値 s の2乗を計算し、その数値を 2n 桁の数値とみて、（下の例のように 2 乗した桁数が足りないときは、0 を補います。）その中央にある n 個の数字を最初の乱数とします。次にこの乱数を 2 乗して、同じ様に、中央にある n 個の数字をとって、次の乱数とします。例えば、123 を初期値とすると
 
の様になります。この方法を用いて、初期値 s（10000未満の正の整数）を入力とし、n = 4 の場合の乱数を 10 個生成し出力するプログラムを作成してください。
 

"
p00138,"
陸上競技大会 200m の準決勝 3 組のレースが行われました。それぞれの組に 8 名（計 24 名）の選手が出場します。各組上位 2 位までの選手と、各組の 3 位以下の全選手の中から上位 2 名の計 8 名が決勝に進出します。
 
選手番号とタイムを入力とし、決勝進出者 8 名の番号とそのタイムを出力するプログラムを作成してください。
 
入力データの1件目から8件目までが1組目、9件目から16件目までが2組目、17件目から24件目までが3組目のデータとします。タイムは、1/100まで計測し、同タイムの選手はいないものとし、棄権は無いものとします。
 
-->

"
p00139,"
ある世界には，文字だけでできた不思議なヘビが住んでいます。このヘビには現在a種とb種の2種類が確認されていますが、それ以外の種類がいる可能性もあります。
 
a種は，"">'""の後に""=""が1個以上並んだ後、""#""が来て、さらに前と同じ個数の""=""が来た後、""~""（半角チルダ）で終わります。
 
b種は，"">^""の後に ""q=""が1個以上並んだ後、""~~""で終わります。
 
ヘビを文字列データとして受け取り、それがどんな種類であるかを判別して、a種の場合は「a」、b種の場合は「b」、それ以外の種類の場合は「na」を出力するプログラムを作成してください。
 

"
p00158,"
正の整数 n に対し、
 n が偶数の時は 2 で割る。 n が奇数の時は 3 倍し、1 を足す。 
という操作を繰り返すと結果が 1 になります。任意の正の整数 n に対してこの操作を繰り返すと必ず 1 になるであろうというのが「コラッツの予想」と呼ばれる問題です。この問題は日本では、「角谷の問題」としても知られている未解決の問題です。コンピュータを利用して非常に大きな数 3 &times; 253 = 27,021,597,764,222,976 以下については反例がないことが知られていますが、数学的には証明されていません。
 
整数 n を入力とし、結果が 1 になるまでに繰り返される操作の回数を出力するプログラムを作成してください。整数 n は 1 以上でかつ上記の計算を繰り返す途中の値が 1000000 以下となる程度の整数とします。たとえば、入力として 3 を受け取った場合は、操作列は
 
になるので、操作の回数（上の矢印の個数）である 7 を出力します。
 


"
p00159,"
肥満度を表す指数としてbmi（body mass index）があります。bmiの値は以下の式で計算します。
 
bmi = 体重(kg) / (身長(m))2
 
bmiの値が標準値に近いほど「理想の体型」と考えられます。そこで、bmiの標準値を 22 とした場合、対象者の情報を入力とし、最も「理想の体型」に近い人の情報を出力するプログラムを作成してください。
 
対象者の数を n とすると、各対象者には重複のないように1 以上 n 以下の整数値の受付番号 p が振られています。
 

"
p00160,"
ある宅配業者の宅配料金は大きさと重量で下表のように料金が設定されています。
 
大きさは三辺（縦、横、高さ）の和です。例えば大きさが120cmで、重さが15kg以内の荷物はｄサイズ（1,200円）となります。大きさが120cm以内でも、重さが15kgを超え、20kg以内ならばｅサイズとなります。
 
1日に持ち込まれた荷物の情報を入力とし、料金の総計を出力するプログラムを作成してください。なお、ｆサイズを超えた荷物は対象外とし料金の総計には含みません。
 





"
p00161,"
秋の体育祭が行われます。種目は徒競走、ボール運び、障害物競走、リレーの4種目です。参加チームは n チームで、この4種目の合計タイムが最も小さいチームが「優勝」、次に小さいチームが「準優勝」、そして、最下位より2番目のチームを「ブービー賞」として表彰したいと思います。
 
各チームの成績を入力として、「優勝」、「準優勝」、「ブービー賞」のチームを出力するプログラムを作成してください。
ただし、チームにはそれぞれ 1 から n のチーム番号が割り当てられています。
 



"
