index,Final_description,title
p00010,"write a program which prints the central coordinate $(p_x, p_y)$ and the radius $r$ of a circumscribed circle of a triangle which is constructed by three points $(x_1, y_1)$, $(x_2, y_2)$ and $(x_3, y_3)$ on the plane surface.","Write a program that prints the central coordinate and the radius of a circle of a triangle on the plane surface. The circle is constructed by three points: x, y, and r on the surface of the plane, and a circle with three points is a triangle."
p00011,"let's play amidakuji. in the following example, there are five vertical lines and four horizontal lines. the horizontal lines can intersect (jump across) the vertical lines. in the starting points (top of the figure), numbers are assigned to vertical lines in ascending order from left to right. at the first step, 2 and 4 are swaped by the first horizontal line which connects second and fourth vertical lines (we call this operation (2, 4)). likewise, we perform (3, 5), (1, 2) and (3, 4), then obtain ""4 1 2 5 3"" in the bottom. your task is to write a program which reads the number of vertical lines w and configurations of horizontal lines and prints the final state of the amidakuji. in the starting pints, numbers 1, 2, 3, ..., w are assigne to the vertical lines from left to right.",Let's play amidakuji. There are five vertical lines and four horizontal lines. The horizontal lines can intersect (jump across) the vertical lines. Numbers are assigned to vertical lines in ascending order from left to right. The program reads the number of vertical lines w and configurations of horizontal lines and prints the final state of the game.
p00013,"this figure shows railway tracks for reshuffling cars. the rail tracks end in the bottom and the top-left rail track is used for the entrace and the top-right rail track is used for the exit. ten cars, which have numbers from 1 to 10 respectively, use the rail tracks. we can simulate the movement (comings and goings) of the cars as follow: an entry of a car is represented by its number. an exit of a car is represented by 0 for example, a sequence demonstrates that car 1 and car 6 enter to the rail tracks in this order, car 6 exits from the rail tracks, and then car 8 and car 10 enter. write a program which simulates comings and goings of the cars which are represented by the sequence of car numbers. the program should read the sequence of car numbers and 0, and print numbers of cars which exit from the rail tracks in order. at the first, there are no cars on the rail tracks. you can assume that 0 will not be given when there is no car on the rail tracks.",Ten cars with numbers from 1 to 10 use the rail tracks. An entry of a car is represented by its number and an exit is represented as 0. Write a program which simulates comings and goings of the cars as shown by the sequence of car numbers.
p00014,"write a program which computes the area of a shape represented by the following three lines: $y = x^2$ $y = 0$ $x = 600$ --> it is clear that the area is $72000000$, if you use an integral you learn in high school. on the other hand, we can obtain an approximative area of the shape by adding up areas of many rectangles in the shape as shown in the following figure: the approximative area $s$ where the width of the rectangles is $d$ is: area of rectangle where its width is $d$ and height is $f(d)$ $+$ area of rectangle where its width is $d$ and height is $f(2d)$ $+$ area of rectangle where its width is $d$ and height is $f(3d)$ $+$ ... area of rectangle where its width is $d$ and height is $f(600 - d)$ the more we decrease $d$, the higer-precision value which is close to $72000000$ we could obtain. your program should read the integer $d$ which is a divisor of $600$, and print the area $s$.","The area of a shape is $72000000. It can be approximated by adding up the areas of rectangles in the shape. The more we decrease $d, the closer to the precision we get. A program should read the integer $d$ which is a divisor of $600."
p00015,"a country has a budget of more than 81 trillion yen. we want to process such data, but conventional integer type which uses signed 32 bit can represent up to 2,147,483,647. your task is to write a program which reads two integers (more than or equal to zero), and prints a sum of these integers. if given integers or the sum have more than 80 digits, print ""overflow"".","A country has a budget of more than 81 trillion yen. A signed 32 bit integer can represent up to 2,147,483,647. The task is to write a program which reads two integers, and prints a sum of these integers. If the sum has more than 80 digits, print ""overflow""."
p00017,"is would become: write a program which reads a text encrypted by caesar chipher and prints the corresponding decoded text. the number of shift is secret and it depends on datasets, but you can assume that the decoded text includes any of the following words: ""the"", ""this"", or ""that"".","The program reads a text encrypted by Caesar chipher and prints the corresponding decoded text. The number of shift is secret, but it is assumed to be any of the following words: ""the"", ""this"", or ""that"". It would become: write a program which reads the text and prints it."
p00018,write a program which reads five numbers and sorts them in descending order.,Write a program which reads five numbers and sorts them in descending order and it will sort them in order of importance.    i   in order to sort the numbers in order by alphabetical order.  i i i  i in order   to sort numbers in alphabetically order.
p00019,write a program which reads an integer n and prints the factorial of n. you can assume that n &le; 20.,"If you write a program which reads an integer n and prints the factorial of n, you can assume that n &le; 20 is the n/2/3/4/5/6/7/8/9/10/11/12/13/14."
p00020,write a program which replace all the lower-case letters of a given text with the corresponding captital letters.,"Write a program which replaces lower-case letters of a text with the corresponding captital letters in the text and then replace it with the correct lower case letters in a text. For example, write a program to replace lower-than-lowercase letters with the lower-like letters."
p00021,"there are four points: $a(x_1, y_1)$, $b(x_2, y_2)$, $c(x_3, y_3)$, and $d(x_4, y_4)$. write a program which determines whether the line $ab$ and the line $cd$ are parallel. if those two lines are parallel, your program should prints ""yes"" and if not prints ""no"".","There are four points: a, b, c, d and e. Write a program which determines whether the lines $ab$ and the line $cd$ are parallel. If they are parallel, the program prints ""yes"" and if not it prints ""no""."
p00022,"given a sequence of numbers a1, a2, a3, ..., an, find the maximum sum of a contiguous subsequence of those numbers. note that, a subsequence of one element is also a contiquous subsequence.","Given a sequence of numbers a1, a2, a3, ..., find the maximum sum of a contiguous subsequence of those numbers. Note that a contiquous subsequence is also a subspace of one of the elements in the sequence. "
p00023,"you are given circle $a$ with radius $r_a$ and with central coordinate $(x_a, y_a)$ and circle $b$ with radius $r_b$ and with central coordinate $(x_b, y_b)$. write a program which prints: ""2"" if $b$ is in $a$, ""-2"" if $a$ is in $b$, ""1"" if circumference of $a$ and $b$ intersect, and ""0"" if $a$ and $b$ do not overlap. you may assume that $a$ and $b$ are not identical.","If you are given circle $a$ with radius $r_a$ and central coordinate $x_a, y_a and circle $b$ and a program which prints: ""2"" if $b is in $a"", ""1"" if circumference of $a and $b intersect, and ""0"" if they do not overlap."
p00024,"ignoring the air resistance, velocity of a freely falling object $v$ after $t$ seconds and its drop $y$ in $t$ seconds are represented by the following formulas: $ v = 9.8 t $ $ y = 4.9 t^2 $ a person is trying to drop down a glass ball and check whether it will crack. your task is to write a program to help this experiment. you are given the minimum velocity to crack the ball. your program should print the lowest possible floor of a building to crack the ball. the height of the $n$ floor of the building is defined by $5 \times n - 5$.",A person is trying to drop down a glass ball and check whether it will crack. The program should print the lowest possible floor of a building to crack the ball. The height of the building is defined by $5 - 5 times the number of floors in the building.
p00025,"let's play hit and blow game. a imagines four numbers and b guesses the numbers. after b picks out four numbers, a answers: the number of numbers which have the same place with numbers a imagined (hit) the number of numbers included (but different place) in the numbers a imagined (blow) for example, if a imagined numbers: and b chose: a should say 1 hit and 1 blow. write a program which reads four numbers a imagined and four numbers b chose and prints the number of hit and blow respectively. you may assume that the four numbers are all different and within from 0 to 9.","Let's play hit and blow game. A imagines four numbers and b guesses the numbers. After b picks out four numbers, a answers the number of numbers which have the same place with numbers a imagined (hit) and the number which has a different place (blow)."
p00026,"as shown in the following figure, there is a paper consisting of a grid structure where each cell is indicated by (x, y) coordinate system. we are going to put drops of ink on the paper. a drop comes in three different sizes: large, medium, and small. from the point of fall, the ink sinks into surrounding cells as shown in the figure depending on its size. in the figure, a star denotes the point of fall and a circle denotes the surrounding cells. originally, the paper is white that means for each cell the value of density is 0. the value of density is increased by 1 when the ink sinks into the corresponding cells. for example, if we put a drop of small ink at (1, 2) and a drop of medium ink at (3, 2), the ink will sink as shown in the following figure (left side): in the figure, density values of empty cells are 0. the ink sinking into out of the paper should be ignored as shown in the figure (top side). we can put several drops of ink at the same point. your task is to write a program which reads a sequence of points of fall (x, y) with its size (small = 1, medium = 2, large = 3), and prints the number of cells whose density value is 0. the program must also print the maximum value of density. you may assume that the paper always consists of 10 &times; 10, and 0 &le; x &lt; 10, 0 &le; y &lt; 10.","There is a paper consisting of a grid structure where each cell is indicated by (x, y) coordinate system. drops of ink are put on the paper in three sizes: large, medium, and small. from the point of fall, the ink sinks into surrounding cells. The density is increased by 1 when the ink sinking into the corresponding cells."
p00027,"your task is to write a program which reads a date (from 2004/1/1 to 2004/12/31) and prints the day of the date. jan. 1, 2004, is thursday. note that 2004 is a leap year and we have feb. 29.","Your task is to write a program which reads a date from 2004/1/1 to 2004/12/31 and prints the day of the date. Jan. 1, 2004, is Thursday and January 29, 2004 is leap year, so feb. 29th is Thursday."
p00028,your task is to write a program which reads a sequence of integers and prints mode values of the sequence. the mode value is the element which occurs most frequently.,Your task is to write a program which reads a sequence of integers and prints mode values of the sequence. The mode value is the element which occurs most frequently in the sequence and is the most common element in the whole sequence.    .   i
p00029,your task is to write a program which reads a text and prints two words. the first one is the word which is arise most frequently in the text. the second one is the word which has the maximum number of letters. the text includes only alphabetical characters and spaces. a word is a sequence of letters which is separated by the spaces.,The task is to write a program which reads a text and prints two words. The first word is the word which arises most frequently in the text and the second one is the one with the maximum number of letters. The text includes only alphabetical characters and spaces.
p00030,"Create a program that takes n different numbers from 0 to 9 and outputs the number of combinations that sum up to s. Each of the n numbers must be from 0 to 9, and no two numbers can be the same in a single combination. For example, if n is 3 and s is 6, the combination of 3 numbers that sum to 6 is 1 + 2 + 3 = 6 0 + 1 + 5 = 6 0 + 2 + 4 = 6 The three combinations are 1 + 2 + 3 = 6 0 + 1 + 5 = 6 0 + 2 + 4 = 6","create a program that takes n different numbers from 0 to 9 and outputs the number of combinations that sum up to s. No two numbers can be the same in a single combination. For example, if n is 3 and s is 6, the combination of 3 numbers that sum to 6 is 1 + 2 + 3 = 6."
p00031,"My grandmother uses a balance. The weights of the ten weights are, in order of weight: 1g, 2g, 4g, 8g, 16g, 32g, 64g, 128g, 256g, and 512g. My grandmother says, ""You can weigh up to 1 kg in grams. She said, ""Well, let's try it out. She put the juice on the left plate and the weights of 8g, 64g, and 128g on the right plate, weighed them together, and then said, ""The sum of the weights is 200g, so the juice weighs 200g. How is that right? The answer was, ""Yes, it is correct. Since the weight of the item to be placed on the left plate is given, create a program that outputs the weights to be placed on the right plate in order of lightest to heaviest when balanced with the weight of the item given by the balance. However, the weight of the item to be weighed must be less than or equal to the sum of the weights (=1023g).","My grandmother uses a balance. The weights of the ten weights are: 1g, 2g, 4g, 8g, 16g, 32g, 64g, 128g, 256g, and 512g. The sum of the weights is 200g, so the juice weighs 200g."
p00032,"There is a factory that inputs data on the length of sides and diagonals into a machine and cuts out molds of plastic sheets. This factory cuts out only parallelogram-shaped molds, although the sizes vary. You have been assigned by your supervisor to count the number of rectangles and rhombuses produced out of the parallelograms being cut out. You are asked to create a program that reads the ""data to be input to the machine"" and outputs the number of rectangles and rhombuses produced.","There is a factory that cuts out molds of plastic sheets. You have been assigned by your supervisor to count the number of rectangles and rhombuses produced out of the parallelograms being cut out. You are asked to create a program that reads the ""data to be input to the machine"" and outputs the numbers."
p00033,"A container is divided into two halves as shown in the figure: 10 balls numbered from 1 to 10 are dropped through the opening a of the container, and the balls are placed either in the left cylinder b or in the right cylinder c. The plate d can rotate left or right around the fulcrum e, so that by moving the plate d, one can decide whether to place the balls in cylinder b or c. Since plate d can rotate left or right around fulcrum e, the ball can be placed in either tube b or tube c by moving plate d. The sequence of balls to be dropped through aperture a is given. The balls are placed into tube b or c in sequence. The program should output ""yes"" if both cylinder b and c can place the larger ball on top of the smaller numbered ball, and ""no"" if they cannot. However, the order of the balls in the containers must not be interchanged. Also, it is assumed that the balls can be continuously placed in the same cylinder, and that there is enough room in both cylinders b and c for all 10 balls.","A container is divided into two halves. 10 balls numbered from 1 to 10 are dropped through the opening a. The balls are placed either in the left cylinder b or in the right cylinder c. The program should output ""yes"" if both cylinders b and c can place the larger ball on top of the smaller numbered ball."
p00034,"There is a double-track (upstream and downstream are on separate tracks and can pass each other anywhere) railroad line. There are 11 stations on this line, including the terminus, and each station is called by the section number shown in the figure. Trains depart from both terminus stations of the line at the same time and do not stop along the way. Write a program that reads the length of each segment and the speeds of the two trains and outputs the segment numbers where the trains pass each other for each case. However, if the trains pass each other at exactly the station, output the smaller of the two section numbers. The length of the train and the length of the station should be negligible.",There is a double-track railroad line with 11 stations. Trains depart from both terminus stations at the same time and do not stop along the way. Write a program that reads the length of each segment and the speeds of the two trains and outputs the segment numbers where the trains pass each other for each case.
p00037,"Viewed from above, the square has the shape of a grid, as shown in Figure 1. Each side of this grid is represented by a sequence of 0's and 1's, whether or not there is a ""wall"" on each side of the grid. Create a program that outputs the path of a person standing at point a, placing his right hand on the wall, keeping his right hand on the wall, and continuing to walk in the direction of the arrow until he returns to point a again.","The square has the shape of a grid. Each side of the grid is represented by a sequence of 0's and 1's. Create a program that outputs the path of a person standing at point a, placing his right hand on the wall, and walking in the direction of the arrow."
p00038,"Create a program that reads poker hand data and outputs its hand for each of them. However, the following rules apply to this problem Poker is played with 5 playing cards. No more than five cards have the same numbers. There shall be no jokers. Only the following poker hands are considered (the higher the number, the higher the hand) (The higher the number, the higher the hand.) No hand (none of the following) One pair (two cards of the same number) Two pair (two cards of the same number) Three card (three cards of the same number) Straight (five consecutive cards of the same number) However, if a straight contains a, any sequence ending in a is also a straight. In other words, a straight containing a A straight that ends with a, such as j q k a 2, is not a straight. is not a straight. (In this case, the hand is ""no suit""). Full house (a pair of three cards of the same number, plus two other cards of the same number) Four-card hand (a pair of four cards of the same number)","Poker is played with 5 playing cards. No more than 5 cards have the same numbers. There are no jokers. The higher the number, the higher the poker hand. A straight containing a sequence ending in a is also a straight. A full house is a pair of three cards of the same number, plus two other cards of same number. A four-card hand is the pair of four cards from the same suit."
p00039,"Counting was a difficult task in ancient Rome. The Arabic numerals 0,1,2,3,..., 9 were not yet in vogue. Instead, the following symbols were used. i for 1, v for 5, x for 10, l for 50, c for 100, d for 500, m for 1000, and see the table above for other examples. When a smaller number follows a larger number, i.e., to the right, it adds up. When the smaller number precedes the larger number, i.e., is to the left, subtract the smaller number from the larger number. There is only one small number per subtraction that precedes the larger number and represents subtraction. Create a program that converts Roman numerals to Arabic (normal number) notation (decimal representation) and outputs the result. However, the given Roman numerals follow only the above rules (there are more detailed rules for actual Roman numeral notation, but we do not need to consider them here. For example, in actual Roman numerals, i is only subtracted from v or x, x from l or c, c from d or m, and the same Roman numerals are never added together more than four (or five))","In ancient Rome, Arabic numerals were used instead of Roman numerals 0,1,2,3, 4, 5, 6, 7, 8, 9. When a smaller number follows a larger number, it adds up. There is only one small number per subtraction that precedes the larger number and represents subtraction."
p00042,"A thief sneaks into a museum that houses many treasures, carrying only one large furoshiki (wrapping cloth). There are many items to be stolen, but the weight of the cloth is limited, and if the weight is exceeded, the cloth will be torn. The thieves must therefore find a combination of treasures that will not tear the furoshiki, but will be most valuable. Create a program that reads the weight w that the furoshiki can withstand and the value and weight of each individual treasure in the museum, and outputs the sum of the values and weights of the treasures when the sum of the weights does not exceed w and the sum of the values is the greatest. However, if there is more than one combination that maximizes the sum of values, the one with the smallest sum of weights should be output. <! -- Also, the total number of treasures in the museum should be less than 1000, and the value of the treasures should be less than 10000. -->.","Thief sneaks into a museum with only one large furoshiki (wrapping cloth). He needs to find a combination of treasures that will not tear the cloth, but will be the most valuable. The total number of treasures in the museum should be less than 1000 and the value of the treasures should be under 10000."
p00044,"A prime number is an integer greater than 1 that is divisible only by itself or by 1. For example, 2 is prime because it is divisible only by 2 and 1, but 12 is not prime because it is divisible by 2, 3, 4, and 6 in addition to 12 and 1. Given an integer n, write a program that outputs the largest prime number less than n and the smallest prime number greater than n.","A prime number is an integer greater than 1 that is divisible only by itself or by 1. 2 is prime because it's divisible by 2 and 1. 12 is not a prime number as it's not divided by more than 2, 3, 4, and 6."
p00046,We have data that records the elevations of mountains that we have climbed. Please create a program that reads this data and outputs the difference in elevation between the highest and lowest mountains.,"We have data that records the elevations of mountains that we have climbed. Please create a program that reads this data and output the difference in elevation between the highest and the lowest mountains.    ""Please create the program"" to do this for us. "
p00055,There is a sequence of numbers defined as follows Every even-numbered term is a number equal to the previous term multiplied by 2. Every odd-numbered term is a number equal to the previous term divided by 3. Write a program that reads the first term a of this sequence and outputs the sum s(10) from the first term to the tenth term.,There is a sequence of numbers defined as follows. Write a program that reads the first term a of this sequence and outputs the sum s(10) from the first to the tenth term. Every even-numbered term is a number equal to the previous term divided by 3.
p00057,"If you draw several infinitely long lines on an infinitely wide plane, this plane will be divided into several regions. For example, if one line is drawn, the plane is divided into two regions. The same number of lines will yield a different number of areas, depending on how they are drawn. For example, if two lines are drawn parallel to each other, the resulting area will be three; if two lines are drawn perpendicular to each other, the resulting area will be four. Create a program that outputs the maximum number of regions that can be obtained by drawing n lines.","If you draw several infinitely long lines on an infinitely wide plane, the plane will be divided into several regions. The same number of lines will yield a different number of areas. Create a program that outputs the maximum number of regions that can be obtained by drawing n lines."
p00073,"Write a program to output the surface area s of a rectangle of height h with a square of side x as the base. The line segment connecting the vertex and the center of the base is assumed to be orthogonal to the base. Also, x and h are positive integers less than or equal to 100. Multiple data sets are given. Each data set is given in the following format. When x and h are both 0, it indicates the end of the input.","Write a program to output the surface area s of a rectangle of height h with a square of side x as the base. The line segment connecting the vertices and the center of the base is assumed to be orthogonal to the base, and x and h are positive integers less than or equal to 100."
p00075,"Obesity has been cited as a cause of many adult diseases. In the past, with a few exceptions, it was not associated with high school students. However, it is no longer unrealistic to expect students to become inactive due to excessive studying for exams or to become bulimic due to stress. It may become a problem that must be of sufficient concern to high school students. Therefore, you have been assigned to be an assistant to the health teacher and create a program to find students who are suspected of being obese from their student data. The method is to calculate a number called bmi (body mass index). bmi is given by the following equation A bmi = 22 is normal, and a bmi greater than 25 is suspicious for obesity. Create a program that calculates the bmi from each student's weight and height information and outputs the student ID number of each student with a bmi greater than 25.",Obesity has been cited as a cause of many adult diseases. It is no longer unrealistic to expect students to become inactive due to excessive studying for exams or to become bulimic due to stress. You have been assigned to create a program to find students suspected of being obese from their student data.
p00080,"The solution to $x^3 = q$ can be approximated by computing the asymptotic formula $x_{n+1} = x_n - \frac{x_{n}^3 - q}{3x_{n}^2}$. Put a positive number $\frac{q}{2}$ in $x_1$ and calculate $x_2 = x_1 - \frac{x_{1}^3 - q}{3x_{1}^2}$, $x_3 = x_2 - \frac{x_{2}^3 - q}{3x_{2}^2}$, .... While performing this calculation, when the value of $|x^3 - q|$ becomes small enough, stop the calculation and let the last calculated $x_n$ be the approximate solution of $x^3 = q$. The solution of $x^3 = q$ can be approximated by computing the asymptotic equation. The solution of $x_n$ can be approximated by computing the following equations. While performing this calculation, when the value of q$ becomes sufficiently small, the calculation is stopped and the last calculated value is used as the approximate solution of q$. Following this method, create a program that outputs the approximate value of the cubic root of $q$ for the input positive integer $q$. However, use $|x^3 - q| < 0.00001 q$ to determine ""sufficiently small"".","The solution to $x^3 = q can be approximated by computing the asymptotic formula $x_n + 1 = x_n - q. When the value of $|x.3 - q| is small enough, the calculation is stopped and the last calculated value is used as the approximate solution of q."
p00093,"Create a program to output all leap years between the years a and b A.D. The conditions for leap years are as follows. However, 0 &lt; a &le; b &lt; 3,000. If there is no leap year in the given period, output ""na"". The year must be a year divisible by 4. However, a year divisible by 100 shall not be a leap year. However, a year divisible by 400 is a leap year.","If there is no leap year in the given period, output ""na"". The year must be a year divisible by 4, but a yeardivisible by 400 is a leap year. Create a program to output all leap years between the years a and b A."
p00094,"Have you ever heard of the unit ""xx tsubo"" to describe an area of land? In ancient times, it referred to the area where one samurai would produce the rice he would eat in a day. Given a piece of land with a[m] &times; b[m], create a program that inputs a and b and outputs the tsubo area, s[tsubo], of the land. Let 1 tsubo = 3.305785 [m2] and let a and b be integers less than or equal to 100.","The unit ""xx tsubo"" is used to describe an area of land. In ancient times, it referred to the area where one samurai would produce the rice he would eat in a day. A program can create a program that takes a and b and returns the area of the land called ssubo."
p00095,"A Wakasagi fishing tournament was held at Lake Hibara. The winner is the one who caught the most wakasagi. Create a program that reads in the list of participant numbers and the number of fish caught, and outputs the winner's number and the number of fish caught. If there are multiple winners, output the one with the lowest participant number.","A Wakasagi fishing tournament was held at Lake Hibara. The winner is the one who caught the most wakasagi. Create a program that reads in the list of participant numbers and the number of fish caught, and output the winner's number and the fish caught. If there are multiple winners, output the one with the lowest participant number."
p00100,"there is data on sales of your company. your task is to write a program which identifies good workers. the program should read a list of data where each item includes the employee id i, the amount of sales q and the corresponding unit price p. then, the program should print ids of employees whose total sales proceeds (i.e. sum of p &times; q) is greater than or equal to 1,000,000 in the order of inputting. if there is no such employees, the program should print ""na"". you can suppose that n &lt; 4000, and each employee has an unique id. the unit price p is less than or equal to 1,000,000 and the amount of sales q is less than or equal to 100,000.","There is data on sales of your company. The task is to write a program which identifies good workers. Each employee has an unique id and the unit price p is less than or equal to 1,000,000. The amount of sales q is under or less than 100,000 and each employee has a unique id."
p00101,"an english booklet has been created for publicizing aizu to the world. when you read it carefully, you found a misnomer (an error in writing) on the last name of masayuki hoshina, the lord of the aizu domain. the booklet says ""hoshino"" not ""hoshina"". your task is to write a program which replace all the words ""hoshino"" with ""hoshina"". you can assume that the number of characters in a text is less than or equal to 1000.","There is a misnomer on the last name of masayuki hoshina, the lord of the aizu domain. The task is to write a program which replaces all the words ""hoshino"" with ""hosina"". The number of characters in a text should be less than or equal to 1000."
p00102,your task is to develop a tiny little part of spreadsheet software. write a program which adds up columns and rows of given table as shown in the following figure:,Your task is to develop a tiny part of a spreadsheet software that adds up columns and rows of a given table as shown in the following figure. The program should be able to do this by adding up the rows and columns of the given table in the form of a figure.
p00103,"ichiro likes baseball and has decided to write a program which simulates baseball. the program reads events in an inning and prints score in that inning. there are only three events as follows: single hit put a runner on the first base. the runner in the first base advances to the second base and the runner in the second base advances to the third base. the runner in the third base advances to the home base (and go out of base) and a point is added to the score. home run all the runners on base advance to the home base. points are added to the score by an amount equal to the number of the runners plus one. out the number of outs is increased by 1. the runners and the score remain stationary. the inning ends with three-out. ichiro decided to represent these events using ""hit"", ""homerun"" and ""out"", respectively. write a program which reads events in an inning and prints score in that inning. you can assume that the number of events is less than or equal to 100.","ichiro has written a program which simulates baseball. The program reads events in an inning and prints score in that inning. There are only three events that affect the score: hit, homerun and out. The number of events is less than or equal to 100. "
p00104,"there is a magic room in a homestead. the room is paved with h &times w tiles. there are five different tiles: tile with a east-pointing arrow tile with a west-pointing arrow tile with a south-pointing arrow tile with a north-pointing arrow tile with nothing once a person steps onto a tile which has an arrow, the mystic force makes the person go to the next tile pointed by the arrow. if the next tile has an arrow, the person moves to the next, ans so on. the person moves on until he/she steps onto a tile which does not have the arrow (the tile with nothing). the entrance of the room is at the northwest corner. your task is to write a program which simulates the movement of the person in the room. the program should read strings which represent the room and print the last position of the person. the input represents the room as seen from directly above, and up, down, left and right side of the input correspond to north, south, west and east side of the room respectively. the horizontal axis represents x-axis (from 0 to w-1, inclusive) and the vertical axis represents y-axis (from 0 to h-1, inclusive). the upper left tile corresponds to (0, 0). the following figure shows an example of the input: characters represent tiles as follows: if the person goes in cycles forever, your program should print ""loop"". you may assume that the person never goes outside of the room.","There is a magic room in a homestead paved with h &times w tiles. The entrance of the room is at the northwest corner. Once a person steps onto a tile which has an arrow, the mystic force makes the person go to the next tile pointed by the arrow. If the person goes in cycles forever, the program should print ""loop""."
p00105,"books are indexed. write a program which reads a list of pairs of a word and a page number, and prints the word and a list of the corresponding page numbers. you can assume that a word consists of at most 30 characters, and the page number is less than or equal to 1000. the number of pairs of a word and a page number is less than or equal to 100. a word never appear in a page more than once. the words should be printed in alphabetical order and the page numbers should be printed in ascending order. 本の最後には索引が設けられています。本の中から抽出された「語句」と「ページ番号」の組を読み取り、本の索引として「語句」とその語句が表れる「ページ番号のリスト」を出力して終了するプログラムを作成して下さい。ただし、1つの語句の長さは30文字以内とし、ページ番号は1,000以下とします。入力に含まれる語句とページ番号の組は100以下とし、1つの語句は同じページ番号に複数回現れないものとします。また、出力に関しては、語句の順番はアルファベット順とし、ページ番号は小さい順(昇順)とします。 -->",A program reads a list of pairs of a word and a page number and prints the word and the corresponding page numbers. A word should never appear in a page more than once and the page numbers should be printed in ascending order. The alphabetical order of the pages should be alphabetical.
p00107,"jerry is a little mouse. he is trying to survive from the cat tom. jerry is carrying a parallelepiped-like piece of cheese of size a &times; b &times; c. it is necessary to trail this cheese to the jerry's house. there are several entrances in the jerry's house. each entrance is a rounded hole having its own radius r. could you help jerry to find suitable holes to be survive? your task is to create a program which estimates whether jerry can trail the cheese via each hole. the program should print ""ok"" if jerry can trail the cheese via the corresponding hole (without touching it). otherwise the program should print ""na"". you may assume that the number of holes is less than 10000.","Jerry is trying to survive from the cat tom. He needs to trail cheese to his house via several holes. You need to create a program which estimates whether he can trail the cheese via each of the holes. If he can, the program should print ""ok"" if he can do it. If not, it will print ""na""."
