index,Final_title,Final_description
p00849,Manhattan Wiring,"
there is a rectangular area containing n &times; m cells. two cells are marked with ""2"", and another two with ""3"". some cells are occupied by obstacles. you should connect the two ""2""s and also the two ""3""s with non-intersecting lines. lines can run only vertically or horizontally connecting
centers of cells without obstacles.
 
lines cannot run on a cell with an obstacle. only one line can run on a cell at most once. hence,
a line cannot intersect with the other line, nor with itself. under these constraints, the total
length of the two lines should be minimized. the length of a line is defined as the number of
cell borders it passes. in particular, a line connecting cells sharing their border has length 1.
 
fig. 6(a) shows an example setting. fig. 6(b) shows two lines satisfying the constraints above
with minimum total length 18.
 
figure 6: an example setting and its solution
 



"
p00850,Power Calculus,"
starting with x and repeatedly multiplying by x, we can compute x31 with thirty multiplications:
 
      x2 = x &times; x, x3 = x2 &times;  x, x4 = x3 &times; x, ... , x31 = x30 &times;  x.
 
the operation of squaring can appreciably shorten the sequence of multiplications. the following is a way to compute x31 with eight multiplications:
 
      x2 = x &times; x, x3 = x2 &times; x, x6 = x3 &times; x3, x7 = x6 &times; x, x14 = x7 &times; x7,
      x15 = x14 &times; x, x30 = x15 &times; x15, x31 = x30 &times; x.
 
this is not the shortest sequence of multiplications to compute x31. there are many ways with only seven multiplications. the following is one of them:
 
      x2 = x &times; x, x4 = x2 &times; x2, x8 = x4 &times; x4, x10 = x8 &times; x2,
      x20 = x10 &times; x10, x30 = x20 &times; x10, x31 = x30 &times; x.
 
there however is no way to compute x31 with fewer multiplications. thus this is one of the
most eficient ways to compute x31 only by multiplications.
 
if division is also available, we can find a shorter sequence of operations. it is possible to
compute x31 with six operations (five multiplications and one division):
 
      x2 = x &times; x, x4 = x2 &times; x2, x8 = x4 &times; x4, x16 = x8 &times; x8, x32  = x16 &times; x16,
      x31 = x32 &divide; x.
 
this is one of the most eficient ways to compute x31 if a division is as fast as a multiplication.
 
your mission is to write a program to find the least number of operations to compute xn
by multiplication and division starting with x for the given positive integer n. products and
quotients appearing in the sequence of operations should be x to a positive integer's power. in
other words, x-3, for example, should never appear.

 

"
p00851,Polygons on the Grid,"
the ultimate tantra is said to have been kept in the most distinguished temple deep in the
sacred forest somewhere in japan. paleographers finally identified its location, surprisingly a
small temple in hiyoshi, after years of eager research. the temple has an underground secret
room built with huge stones. this underground megalith is suspected to be where the tantra
is enshrined.
 
the room door is, however, securely locked. legends tell that the key of the door lock was an
integer, that only highest priests knew. as the sect that built the temple decayed down, it is
impossible to know the integer now, and the agency for cultural affairs bans breaking up the
door. fortunately, a figure of a number of rods that might be used as a clue to guess that secret
number is engraved on the door.
 
many distinguished scholars have challenged the riddle, but no one could have ever succeeded
in solving it, until recently a brilliant young computer scientist finally deciphered the puzzle.
lengths of the rods are multiples of a certain unit length. he found that, to find the secret
number, all the rods should be placed on a grid of the unit length to make one convex polygon.
both ends of each rod must be set on grid points. elementary mathematics tells that the
polygon's area ought to be an integer multiple of the square of the unit length. the area size of
the polygon with the largest area is the secret number which is needed to unlock the door.
 
for example, if you have five rods whose lengths are 1, 2, 5, 5, and 5, respectively, you can make
essentially only three kinds of polygons, shown in figure 7. then, you know that the maximum
area is 19.
 
figure 7: convex polygons consisting of five rods of lengths 1, 2, 5, 5, and 5
 
your task is to write a program to find the maximum area of convex polygons using all the given
rods whose ends are on grid points.

 

"
p00852,The Best Name for Your Baby,"
in the year 29xx, the government of a small country somewhere on the earth introduced a law restricting first names of the people only to traditional names in their culture, in order to preserve their cultural uniqueness. the linguists of the country specifies a set of rules once every year, and only names conforming to the rules are allowed in that year. in addition, the law also requires each person to use a name of a specific length calculated from one's birth date because
otherwise too many people would use the same very popular names. since the legislation of that law, the common task of the parents of new babies is to find the name that comes first in the alphabetical order among the legitimate names of the given length because names earlier in the alphabetical order have various benefits in their culture.
 
legitimate names are the strings consisting of only lowercase letters that can be obtained by
repeatedly applying the rule set to the initial string ""s"", a string consisting only of a single uppercase s.
 
applying the rule set to a string is to choose one of the rules and apply it to the string. each
of the rules has the form a -&gt; &alpha;, where a is an uppercase letter and &alpha; is a string of lowercase and/or uppercase letters. applying such a rule to a string is to replace an occurrence of the
letter a in the string to the string &alpha;. that is, when the string has the form ""&beta;a&gamma;"", where &beta; and
&gamma; are arbitrary (possibly empty) strings of letters, applying the rule rewrites it into the string ""&beta;&alpha;&gamma;"". if there are two or more occurrences of a in the original string, an arbitrary one of them
can be chosen for the replacement.
 
below is an example set of rules.
 
applying the rule (1) to ""s"", ""aab"" is obtained. applying (2) to it results in ""ab"", as a is replaced by an empty string. then, the rule (4) can be used to make it ""aabba"". applying (3) to the first occurrence of a makes it ""aaabba"". applying the rule (2) to the a at the end results in ""aaabb"". finally, applying the rule (2) again to the remaining a results in ""aabb"". as no uppercase letter remains in this string, ""aabb"" is a legitimate name. 
 
we denote such a rewriting process as follows.
 
linguists of the country may sometimes define a ridiculous rule set such as follows.
 
the only possible rewriting sequence with this rule set is:
 
which will never terminate. no legitimate names exist in this case. also, the rule (3) can never be used, as its left hand side, b, does not appear anywhere else.
 
it may happen that no rules are supplied for some uppercase letters appearing in the rewriting steps. in its extreme case, even s might have no rules for it in the set, in which case there are no legitimate names, of course. poor nameless babies, sigh!
 
now your job is to write a program that finds the name earliest in the alphabetical order among the legitimate names of the given length conforming to the given set of rules.
 



"
p00853,Enjoyable Commutation,"
isaac is tired of his daily trip to his ofice, using the same shortest route everyday. although this saves his time, he must see the same scenery again and again. he cannot stand such a boring commutation any more.
 
one day, he decided to improve the situation. he would change his route everyday at least slightly. his new scheme is as follows. on the first day, he uses the shortest route. on the second day, he uses the second shortest route, namely the shortest except one used on the first day. in general, on the k-th day, the k-th shortest route is chosen. visiting the same place twice on a route should be avoided, of course.
 
you are invited to help isaac, by writing a program which finds his route on the k-th day. the problem is easily modeled using terms in the graph theory. your program should find the k-th shortest path in the given directed graph.
 

"
p00854,And Then There Was One,"
let’s play a stone removing game.
 
initially, n stones are arranged on a circle and numbered 1, ... , n clockwise (figure 1). you are also given two numbers k and m. from this state, remove stones one by one following the rules explained below, until only one remains. in step 1, remove stone m. in step 2, locate the k-th next stone clockwise from m and remove it. in subsequent steps, start from the slot of the stone removed in the last step, make k hops clockwise on the remaining stones and remove the one you reach. in other words, skip (k - 1) remaining stones clockwise and remove the next one. repeat this until only one stone is left and answer its number.
 
for example, the answer for the case n = 8, k = 5, m = 3 is 1, as shown in figure 1.
 
figure 1: an example game
 
initial state: eight stones are arranged on a circle.
 
step 1: stone 3 is removed since m = 3.
 
step 2: you start from the slot that was occupied by stone 3. you skip four stones 4, 5, 6 and 7 (since k = 5), and remove the next one, which is 8.
 
step 3: you skip stones 1, 2, 4 and 5, and thus remove 6. note that you only count stones that are still on the circle and ignore those already removed. stone 3 is ignored in this case.
 
steps 4-7: you continue until only one stone is left. notice that in later steps when only a few stones remain, the same stone may be skipped multiple times. for example, stones 1 and 4 are skipped twice in step 7.
 
final state: finally, only one stone, 1, is on the circle. this is the final state, so the answer is 1.
 



"
p00855,Prime Gap,"
the sequence of n - 1 consecutive composite numbers (positive integers that are not prime and
not equal to 1) lying between two successive prime numbers p and p + n is called a prime gap of length n. for example, (24, 25, 26, 27, 28) between 23 and 29 is a prime gap of length 6.
 
your mission is to write a program to calculate, for a given positive integer k, the length of the prime gap that contains k. for convenience, the length is considered 0 in case no prime gap
contains k.
 

"
p00856,Minimal Backgammon,"
here is a very simple variation of the game backgammon, named “minimal backgammon”. the game is played by only one player, using only one of the dice and only one checker (the token used by the player).
 
the game board is a line of (n + 1) squares labeled as 0 (the start) to n (the goal). at the beginning, the checker is placed on the start (square 0). the aim of the game is to bring the checker to the goal (square n). the checker proceeds as many squares as the roll of the dice. the dice generates six integers from 1 to 6 with equal probability.
 
the checker should not go beyond the goal. if the roll of the dice would bring the checker beyond the goal, the checker retreats from the goal as many squares as the excess. for example, if the checker is placed at the square (n - 3), the roll ""5"" brings the checker to the square (n - 2), because the excess beyond the goal is 2. at the next turn, the checker proceeds toward the goal
as usual.
 
each square, except the start and the goal, may be given one of the following two special instructions.
 lose one turn (labeled ""l"" in figure 2) if the checker stops here, you cannot move the checker in the next turn. 
go back to the start (labeled ""b"" in figure 2) if the checker stops here, the checker is brought back to the start. 
given a game board configuration (the size n, and the placement of the special instructions), you are requested to compute the probability with which the game succeeds within a given number of turns.
 








"
p00857,Lowest Pyramid,"
you are constructing a triangular pyramid with a sheet of craft paper with grid lines. its base
and sides are all of triangular shape. you draw the base triangle and the three sides connected
to the base on the paper, cut along the outer six edges, fold the edges of the base, and assemble
them up as a pyramid.
 
you are given the coordinates of the base's three vertices, and are to determine the coordinates
of the other three. all the vertices must have integral x- and y-coordinate values between -100 and +100 inclusive. your goal is to minimize the height of the pyramid satisfying these
conditions. figure 3 shows some examples.
 
figure 3: some craft paper drawings and side views of the assembled pyramids
 


"
p00858,Geometric Map,"
your task in this problem is to create a program that finds the shortest path between two given
locations on a given street map, which is represented as a collection of line segments on a plane.
 
figure 4 is an example of a street map, where some line segments represent streets and the
others are signs indicating the directions in which cars cannot move. more concretely, ae, am, mq, eq, cp and hj represent the streets and the others are signs in this map. in general, an end point of a sign touches one and only one line segment representing a street and the other end point is open. each end point of every street touches one or more streets, but no signs.
 
the sign bf, for instance, indicates that at b cars may move left to right but may not in the
reverse direction. in general, cars may not move from the obtuse angle side to the acute angle
side at a point where a sign touches a street (note that the angle cbf is obtuse and the angle abf is acute). cars may directly move neither from p to m nor from m to p since cars moving left
to right may not go through n and those moving right to left may not go through o. in a special
case where the angle between a sign and a street is rectangular, cars may not move in either
directions at the point. for instance, cars may directly move neither from h to j nor from j to h.
 
you should write a program that finds the shortest path obeying these traffic rules. the length of a line segment between (x1, y1) and (x2, y2) is &radic;{(x2 − x1)2 + (y2 − y1 )2} .

 

"
p00859,Slim Span,"
given an undirected weighted graph g, you should find one of spanning trees specified as follows.
 
the graph g is an ordered pair (v, e), where v is a set of vertices {v1, v2, ... , vn} and e is a set of undirected edges {e1, e2, ... , em}. each edge e &isin; e has its weight w(e).
 
a spanning tree t is a tree (a connected subgraph without cycles) which connects all the n
vertices with n - 1 edges. the slimness of a spanning tree t is defined as the difference between
the largest weight and the smallest weight among the n - 1 edges of t.
 
figure 5: a graph g and the weights of the edges
 
for example, a graph g in figure 5(a) has four vertices {v1, v2, v3, v4} and five undirected edges {e1, e2, e3, e4, e5}. the weights of the edges are w(e1) = 3, w(e2) = 5, w(e3) = 6, w(e4) = 6, w(e5) = 7 as shown in figure 5(b).
 
figure 6: examples of the spanning trees of g
 
there are several spanning trees for g. four of them are depicted in figure 6(a)-(d). the spanning tree ta in figure 6(a) has three edges whose weights are 3, 6 and 7. the largest weight
is 7 and the smallest weight is 3 so that the slimness of the tree ta is 4. the slimnesses of
spanning trees tb , tc and td shown in figure 6(b), (c) and (d) are 3, 2 and 1, respectively. you
can easily see the slimness of any other spanning tree is greater than or equal to 1, thus the
spanning tree td in figure 6(d) is one of the slimmest spanning trees whose slimness is 1.
 
your job is to write a program that computes the smallest slimness.
 



"
p00860,The Morning after Halloween,"
you are working for an amusement park as an operator of an obakeyashiki, or a haunted house,
in which guests walk through narrow and dark corridors. the house is proud of their lively
ghosts, which are actually robots remotely controlled by the operator, hiding here and there in
the corridors. one morning, you found that the ghosts are not in the positions where they are
supposed to be. ah, yesterday was halloween. believe or not, paranormal spirits have moved
them around the corridors in the night. you have to move them into their right positions before
guests come. your manager is eager to know how long it takes to restore the ghosts.
 
in this problem, you are asked to write a program that, given a floor map of a house, finds the
smallest number of steps to move all ghosts to the positions where they are supposed to be.
 
a floor consists of a matrix of square cells. a cell is either a wall cell where ghosts cannot move
into or a corridor cell where they can.
 
at each step, you can move any number of ghosts simultaneously. every ghost can either stay
in the current cell, or move to one of the corridor cells in its 4-neighborhood (i.e. immediately
left, right, up or down), if the ghosts satisfy the following conditions:
  no more than one ghost occupies one position at the end of the step.  no pair of ghosts exchange their positions one another in the step. 
for example, suppose ghosts are located as shown in the following (partial) map, where a sharp sign ('#) represents a wall cell and 'a', 'b', and 'c' ghosts.
 
the following four maps show the only possible positions of the ghosts after one step.
 


                                   ####      ####     ####     ####
                                    ab#      a b#     acb#     ab #
                                   #c##      #c##     # ##     #c##
                                   ####      ####     ####     ####





"
p00861,Bug Hunt,"
in this problem, we consider a simple programming language that has only declarations of one-
dimensional integer arrays and assignment statements. the problem is to find a bug in the given
program.
 
the syntax of this language is given in bnf as follows:
 
where &lt;new line&gt; denotes a new line character (lf).
 
characters used in a program are alphabetical letters, decimal digits, =, [, ] and new line characters. no other characters appear in a program.
 
a declaration declares an array and specifies its length. valid indices of an array of length n are integers between 0 and n - 1, inclusive. note that the array names are case sensitive, i.e.
array a and array a are different arrays. the initial value of each element in the declared array is undefined.
 
for example, array a of length 10 and array b of length 5 are declared respectively as follows.
 
an expression evaluates to a non-negative integer. a &lt;number&gt; is interpreted as a decimal
integer. an &lt;array_name&gt; [&lt;expression&gt;] evaluates to the value of the &lt;expression&gt; -th element of
the array. an assignment assigns the value denoted by the right hand side to the array element
specified by the left hand side.
 
examples of assignments are as follows.
 
a program is executed from the first line, line by line. you can assume that an array is declared once and only once before any of its element is assigned or referred to.
 
given a program, you are requested to find the following bugs.
  an index of an array is invalid.  an array element that has not been assigned before is referred to in an assignment as an index of array or as the value to be assigned. 
you can assume that other bugs, such as syntax errors, do not appear. you can also assume
that integers represented by &lt;number&gt;s are between 0 and 231 - 1 (= 2147483647), inclusive.
 

"
p00862,Most Distant Point from the Sea,"
the main land of japan called honshu is an island surrounded by the sea. in such an island, it
is natural to ask a question: ""where is the most distant point from the sea?"" the answer to
this question for honshu was found in 1996. the most distant point is located in former usuda
town, nagano prefecture, whose distance from the sea is 114.86 km.
 
in this problem, you are asked to write a program which, given a map of an island, finds the
most distant point from the sea in the island, and reports its distance from the sea. in order to
simplify the problem, we only consider maps representable by convex polygons.
 

"
p00863,The Teacher's Side of Math,"
one of the tasks students routinely carry out in their mathematics classes is to solve a polynomial equation. it is, given a polynomial, say x2 - 4x + 1, to find its roots (2 &plusmn; &radic;3).
 
if the students’ task is to find the roots of a given polynomial, the teacher’s task is then to find a polynomial that has a given root. ms. galsone is an enthusiastic mathematics teacher who is bored with finding solutions of quadratic equations that are as simple as a + b&radic;c. she wanted to make higher-degree equations whose solutions are a little more complicated. as usual in problems in mathematics classes, she wants to maintain all coefficients to be integers and keep the degree of the polynomial as small as possible (provided it has the specified root). please help her by writing a program that carries out the task of the teacher’s side.
 
you are given a number t of the form:
 
    t = m&radic;a+n&radic;b
 
where a and b are distinct prime numbers, and m and n are integers greater than 1.
 
in this problem, you are asked to find t's minimal polynomial on integers, which is the polynomial f(x) = adxd + ad-1xd-1 + ... + a1x + a0 satisfying the following conditions.
  coefficients a0, ... , ad are integers and ad &gt; 0.  f(t) = 0.  the degree d is minimum among polynomials satisfying the above two conditions.  f(x) is primitive. that is, coefficients a0, ... , ad have no common divisors greater than one. 
for example, the minimal polynomial of &radic;3+ &radic;2 on integers is f(x) = x4 - 10x2 + 1. verifying f(t) = 0 is as simple as the following (&alpha; = 3, &beta; = 2).
 
f(t) = (&alpha; + &beta;)4 - 10(&alpha; + &beta;)2 + 1
 
= (&alpha;4 + 4&alpha3&beta; + 6&alpha;2&beta;2 + 4&alpha;&beta;3 + &beta;4 ) - 10(&alpha;2 + 2&alpha;&beta; + &beta;2) + 1
 
= 9 + 12&alpha;&beta; + 36 + 8&alpha;&beta; + 4 - 10(3 + 2&alpha;&beta; + 2) + 1
 
= (9 + 36 + 4 - 50 + 1) + (12 + 8 - 20)&alpha;&beta;
 
                     = 0
 
verifying that the degree of f(t) is in fact minimum is a bit more difficult. fortunately, under
the condition given in this problem, which is that a and b are distinct prime numbers and m and n greater than one, the degree of the minimal polynomial is always mn. moreover, it is
always monic. that is, the coefficient of its highest-order term (ad) is one.
 

"
p00864,Grey Area,"
dr. grey is a data analyst, who visualizes various aspects of data received from all over the
world everyday. he is extremely good at sophisticated visualization tools, but yet his favorite is
a simple self-made histogram generator.
 
figure 1 is an example of histogram automatically produced by his histogram.
 
a histogram is a visual display of frequencies of value occurrences as bars. in this example, values
in the interval 0-9 occur five times, those in the interval 10-19 occur three times, and 20-29
and 30-39 once each.
 
dr. grey’s histogram generator is a simple tool. first, the height of the histogram is fixed, that
is, the height of the highest bar is always the same and those of the others are automatically
adjusted proportionately. second, the widths of bars are also fixed. it can only produce a
histogram of uniform intervals, that is, each interval of a histogram should have the same width
(10 in the above example). finally, the bar for each interval is painted in a grey color, where
the colors of the leftmost and the rightmost intervals are black and white, respectively, and the
darkness of bars monotonically decreases at the same rate from left to right. for instance, in
figure 1, the darkness levels of the four bars are 1, 2/3, 1/3, and 0, respectively.

 
in this problem, you are requested to estimate ink consumption when printing a histogram on paper. the amount of ink necessary to draw a bar is proportional to both its area and darkness.

"
p00865,Expected Allowance,"
hideyuki is allowed by his father ujisato some 1000 yen bills every month for his pocket money.
in the first day of every month, the number of bills is decided as follows. ujisato prepares n
pieces of m-sided dice and declares the cutback k. hideyuki rolls these dice. the number of
bills given is the sum of the spots of the rolled dice decreased by the cutback. fortunately to
hideyuki, ujisato promises him to give at least one bill, even if the sum of the spots does not
exceed the cutback. each of the dice has spots of 1 through m inclusive on each side, and the
probability of each side is the same.
 
in this problem, you are asked to write a program that finds the expected value of the number
of given bills.
 
for example, when n = 2, m = 6 and k = 3, the probabilities of the number of bills being 1, 2, 3, 4, 5, 6, 7, 8 and 9 are 1/36 + 2/36 + 3/36, 4/36, 5/36, 6/36, 5/36, 4/36, 3/36, 2/36 and 1/36, respectively.
 
therefore, the expected value is
 
(1/36 + 2/36 + 3/36) &times; 1 + 4/36 &times; 2 + 5/36 &times; 3 + 6/36 &times; 4 + 5/36 &times; 5 + 4/36 &times 6 + 3/36 &times 7 + 2/36 &times 8 + 1/36 &times 9, which is approximately 4.11111111.
 

"
p00866,Stopped Watches,"
in the middle of tyrrhenian sea, there is a small volcanic island called chronus. the island
is now uninhabited but it used to be a civilized island. some historical records imply that the
island was annihilated by an eruption of a volcano about 800 years ago and that most of the
people in the island were killed by pyroclastic flows caused by the volcanic activity. in 2003, a
european team of archaeologists launched an excavation project in chronus island. since then,
the project has provided many significant historic insights. in particular the discovery made
in the summer of 2008 astonished the world: the project team excavated several mechanical
watches worn by the victims of the disaster. this indicates that people in chronus island had
such a highly advanced manufacturing technology.
 
shortly after the excavation of the watches, archaeologists in the team tried to identify what
time of the day the disaster happened, but it was not successful due to several difficulties. first,
the extraordinary heat of pyroclastic flows severely damaged the watches and took away the
letters and numbers printed on them. second, every watch has a perfect round form and one
cannot tell where the top of the watch is. lastly, though every watch has three hands, they
have a completely identical look and therefore one cannot tell which is the hour, the minute,
or the second (it is a mystery how the people in chronus island were distinguishing the three hands. some archaeologists
guess that the hands might be painted with different colors, but this is only a hypothesis, as the paint was lost
by the heat.
). this means that we cannot decide the time indicated by a watch uniquely;
there can be a number of candidates. we have to consider different rotations of the watch.
furthermore, since there are several possible interpretations of hands, we have also to consider
all the permutations of hands.
 
you are an information archaeologist invited to the project team and are asked to induce the
most plausible time interval within which the disaster happened, from the set of excavated
watches.
 
in what follows, we express a time modulo 12 hours. we write a time by the notation hh:mm:ss,
where hh, mm, and ss stand for the hour (hh = 00, 01, 02, . . . , 11), the minute (mm = 00,
01, 02, . . . , 59), and the second (ss = 00, 01, 02, . . . , 59), respectively. the time starts from
00:00:00 and counts up every second 00:00:00, 00:00:01, 00:00:02, . . ., but it reverts to 00:00:00
every 12 hours.
 
the watches in chronus island obey the following conventions of modern analog watches.
 a watch has three hands, i.e. the hour hand, the minute hand, and the second hand,
though they look identical as mentioned above. every hand ticks 6 degrees clockwise in a discrete manner. that is, no hand stays between
ticks, and each hand returns to the same position every 60 ticks. the second hand ticks every second. the minute hand ticks every 60 seconds. the hour hand ticks every 12 minutes. 
at the time 00:00:00, all the three hands are located at the same position.
 
because people in chronus island were reasonably keen to keep their watches correct and pyroclastic flows spread over the island quite rapidly, it can be assumed that all the watches were
stopped in a short interval of time. therefore it is highly expected that the time the disaster
happened is in the shortest time interval within which all the excavated watches have at least
one candidate time.
 
you must calculate the shortest time interval and report it to the project team.
 


"
p00867,Digits on the Floor,"
taro attempts to tell digits to hanako by putting straight bars on the floor. taro wants to
express each digit by making one of the forms shown in figure 1.
 
since taro may not have bars of desired lengths, taro cannot always make forms exactly as
shown in figure 1. fortunately, hanako can recognize a form as a digit if the connection
relation between bars in the form is kept. neither the lengths of bars nor the directions of forms
affect hanako’s perception as long as the connection relation remains the same. for example,
hanako can recognize all the awkward forms in figure 2 as digits. on the other hand, hanako
cannot recognize the forms in figure 3 as digits. for clarity, touching bars are slightly separated
in figures 1, 2 and 3. actually, touching bars overlap exactly at one single point.
 
in the forms, when a bar touches another, the touching point is an end of at least one of them.
that is, bars never cross. in addition, the angle of such two bars is always a right angle.
 
to enable taro to represent forms with his limited set of bars, positions and lengths of bars can
be changed as far as the connection relations are kept. also, forms can be rotated.
 
keeping the connection relations means the following.
 separated bars are not made to touch. touching bars are not made separate. when one end of a bar touches another bar, that end still touches the same bar. when it
touches a midpoint of the other bar, it remains to touch a midpoint of the same bar on
the same side.
 the angle of touching two bars is kept to be the same right angle (90 degrees and -90
degrees are considered different, and forms for 2 and 5 are kept distinguished).
 
your task is to find how many times each digit appears on the floor.
 
the forms of some digits always contain the forms of other digits. for example, a form for
9 always contains four forms for 1, one form for 4, and two overlapping forms for 7. in this
problem, ignore the forms contained in another form and count only the digit of the “largest”
form composed of all mutually connecting bars. if there is one form for 9, it should be interpreted
as one appearance of 9 and no appearance of 1, 4, or 7.

 

"
p00868,Spherical Mirrors,"

a long time ago in a galaxy, far, far away, there were n spheres with various radii.
spheres were mirrors, that is, they had reflective surfaces . . . .

 
you are standing at the origin of the galaxy (0, 0, 0), and emit a laser ray to the direction
(u,v, w). the ray travels in a straight line.
 
when the laser ray from i hits the surface of a sphere at q, let n be a point outside of the
sphere on the line connecting the sphere center and q. the reflected ray goes to the direction
towards r that satisfies the following conditions: (1) r is on the plane formed by the three
points i, q and n , (2) &ang; iqn = &ang; nqr, as shown in figure 1.
 
after it is reflected several times, finally it goes beyond our observation. your mission is to write
a program that identifies the last reflection point.
 

"
p00869,Traveling Cube,"
on a small planet named bandai, a landing party of the starship tadamigawa discovered colorful
cubes traveling on flat areas of the planet surface, which the landing party named beds. a cube
appears at a certain position on a bed, travels on the bed for a while, and then disappears. after
a longtime observation, a science officer lt. alyssa ogawa of tadamigawa found the rule how a
cube travels on a bed.
 
a bed is a rectangular area tiled with squares of the same size.

  one of the squares is colored red,   one colored green,   one colored blue,   one colored cyan,   one colored magenta,   one colored yellow,   one or more colored white, and   all others, if any, colored black. 
initially, a cube appears on one of the white squares. the cube’s faces are colored as follows.
 
the cube can roll around a side of the current square at a step and thus rolls on to an adjacent
square. when the cube rolls on to a chromatically colored (red, green, blue, cyan, magenta or
yellow) square, the top face of the cube after the roll should be colored the same. when the
cube rolls on to a white square, there is no such restriction. the cube should never roll on to a
black square.
 
throughout the travel, the cube can visit each of the chromatically colored squares only once,
and any of the white squares arbitrarily many times. as already mentioned, the cube can never
visit any of the black squares. on visit to the final chromatically colored square, the cube
disappears. somehow the order of visits to the chromatically colored squares is known to us
before the travel starts.
 
your mission is to find the least number of steps for the cube to visit all the chromatically
colored squares in the given order.

 

"
p00870,Search of Concatenated Strings,"
the amount of information on the world wide web is growing quite rapidly. in this information
explosion age, we must survive by accessing only the web pages containing information relevant
to our own needs. one of the key technologies for this purpose is keyword search. by using
well-known search engines, we can easily access those pages containing useful information about
the topic we want to know.
 
there are many variations in keyword search problems. if a single string is searched in a given
text, the problem is quite easy. if the pattern to be searched consists of multiple strings, or
is given by some powerful notation such as regular expressions, the task requires elaborate
algorithms to accomplish efficiently.
 
in our problem, a number of strings (element strings) are given, but they are not directly
searched for. concatenations of all the element strings in any order are the targets of the search
here.
 
for example, consider three element strings aa, b and ccc are given. in this case, the following
six concatenated strings are the targets of the search, i.e. they should be searched in the text.
 
the text may contain several occurrences of these strings. you are requested to count the
number of occurrences of these strings, or speaking more precisely, the number of positions of
occurrences in the text.
 
two or more concatenated strings may be identical. in such cases, it is necessary to consider
subtle aspects of the above problem statement. for example, if two element strings are x and
xx, the string xxx is an occurrence of both the concatenation of x and xx and that of xx and x.
since the number of positions of occurrences should be counted, this case is counted as one, not
two.
 
two occurrences may overlap. for example, the string xxxx has occurrences of the concatenation
xxx in two different positions. this case is counted as two.
 

"
p00871,Top Spinning,"
spinning tops are one of the most popular and the most traditional toys. not only spinning
them, but also making one’s own is a popular enjoyment.
 
one of the easiest way to make a top is to cut out a certain shape from a cardboard and pierce
an axis stick through its center of mass. professionally made tops usually have three dimensional
shapes, but in this problem we consider only two dimensional ones.
 
usually, tops have rotationally symmetric shapes, such as a circle, a rectangle (with 2-fold
rotational symmetry) or a regular triangle (with 3-fold symmetry). although such symmetries
are useful in determining their centers of mass, they are not definitely required; an asymmetric
top also spins quite well if its axis is properly pierced at the center of mass.
 
when a shape of a top is given as a path to cut it out from a cardboard of uniform thickness,
your task is to find its center of mass to make it spin well. also, you have to determine whether
the center of mass is on the part of the cardboard cut out. if not, you cannot pierce the axis
stick, of course.
 
<!--
java specific: submitted java programs may not use classes implementing the interface
“java.awt.shape”. you may use them for your debugging purposes.
-->


"
p00872,Common Polynomial,"
math teacher mr. matsudaira is teaching expansion and factoring of polynomials to his students.
last week he instructed the students to write two polynomials (with a single variable x), and
to report gcm (greatest common measure) of them as a homework, but he found it boring to
check their answers manually. so you are asked to write a program to check the answers.
 
hereinafter, only those polynomials with integral coefficients, called integral polynomials, are
considered.
 
when two integral polynomials a and b are given, an integral polynomial c is a common factor
of a and b if there are some integral polynomials x and y such that a = cx and b = cy.
 
gcm of two integral polynomials is a common factor which has the highest degree (for x, here);
you have to write a program which calculates the gcm of two polynomials.
 
it is known that gcm of given two polynomials is unique when constant multiplication factor is
ignored. that is, when c and d are both gcm of some two polynomials a and b, p &times c = q &times; d
for some nonzero integers p and q.
 

"
p00873,Zigzag,"
given several points on a plane, let’s try to solve a puzzle connecting them with a zigzag line.
the puzzle is to find the zigzag line that passes through all the given points with the minimum
number of turns. moreover, when there are several zigzag lines with the minimum number of
turns, the shortest one among them should be found.
 
for example, consider nine points given in figure 1.
 figure 1: given nine points 
a zigzag line is composed of several straight line segments. here, the rule requests that each
line segment should pass through two or more given points.
 
a zigzag line may turn at some of the given points or anywhere else. there may be some given
points passed more than once.
 figure 2: zigzag lines with three turning points. 
two zigzag lines with three turning points are depicted in figure 2 (a) and (b) for the same
set of given points shown in figure 1. the length of the zigzag line in figure 2 (a) is shorter than that in figure 2 (b). in fact, the length of the zigzag line in figure 2 (a) is the shortest
so that it is the solution for the nine points given in figure 1.
 
another zigzag line with four turning points is depicted in figure 3. its length is shorter than
those in figure 2, however, the number of turning points is greater than those in figure 2,
and thus, it is not the solution.
 figure 3: zigzag line with four turning points. 
there are two zigzag lines that passes another set of given points depicted in figure 4 (a) and
(b).
 
both have the same number of turning points, and the line in (a) is longer than that in (b).
however, the solution is (a), because one of the segments of the zigzag line in (b) passes only
one given point, violating the rule.
 figure 4: zigzag line with two turning points (a), and not a zigzag line concerned (b). 
your job is to write a program that solves this puzzle.
 

"
